obs	Country	Arrivals	Share	Gdp	Gdppc	Gkf	Cpi	Fdi	Exrate	ld_Arrivals	ld_Share	ld_Gdp	ld_Gdppc	ld_Gkf	ld_Cpi	ld_Fdi	ld_Exrate
"1980"	1	30100	10.8234448040273	1283622533248.77	23243.6433436138	257250484258.568	38.6460615467355	3282773277.87031	115.88	NA	NA	NA	NA	NA	NA	NA	NA
"1981"	1	31400	11.2706389088299	1296190142529.72	23352.5548528827	233512923743.969	43.798869752924	2469631624.9973	110.563333333333	0.0422827211593777	0.0404864210535916	0.00974311725600074	0.00467470359470568	-0.0968128336385838	0.125163142953026	-0.284619576858095	-0.0469666637945538
"1982"	1	33467	12.0863127482846	1327524824140.68	23783.6690128483	241368024778.64	49.0453066797489	1585298782.09975	105.559166666667	0.0637519857850712	0.069872616953861	0.0238868717933514	0.0182927755497566	0.0330854189522398	0.113136484702848	-0.443296104219417	-0.0463168919070762
"1983"	1	34018	12.0716820440028	1343878655335.03	23933.7786463247	224115937855.046	53.6847712113188	1725670868.53761	101.65	0.0163299175926213	-0.0012112516950431	0.0122437779390907	0.00629162438513831	-0.0741593448025668	0.0903848741652076	0.0848429885540369	-0.0377360771251638
"1984"	1	35429	11.5479139504563	1363964607238.97	24145.293849283	221980613816.346	57.8044349149032	2397989218.95718	99.9708333333333	0.0406408975187968	-0.0443575725097243	0.0148356594967538	0.00879869583795845	-0.00957344475926902	0.073936130176639	0.32901467657263	-0.0166570632959262
"1985"	1	36748	11.4801624492346	1385927827221.06	24389.3352170013	227836628449.734	61.1750688543643	2595492779.80055	102.489166666667	0.0365531085985236	-0.00588426888419358	0.015974215387196	0.0100564660375255	0.0260387773208492	0.0566742334928056	0.0791458337193092	0.0248786251574327
"1986"	1	36080	10.9267110841914	1417194099445.36	24795.556087457	245608253824.056	62.7280141848885	3255870956.36327	106.13	-0.0183451072147971	-0.0494101917250074	0.0223091037707626	0.016518491611734	0.0751089722552933	0.025068410202687	0.226683420321528	0.0349076558378689
"1987"	1	41734	11.6024464831804	1451042924528.68	25243.087561169	257351994168.781	64.7910746134609	5139716801.65678	107.405	0.14557744911677	0.0600056299012199	0.0236036257152747	0.0178879111959809	0.0467069724436548	0.032359711363088	0.456538166206908	0.0119419781522092
"1988"	1	42721	11.0963636363636	1518772700106.95	26274.6059863955	284613112193.454	66.540963114582	8489906284.29328	105.029166666667	0.0233744583064777	-0.0445985252797283	0.0456200183816584	0.0400505626016052	0.100685982026324	0.0266498882803621	0.501879980903514	-0.0223686465637396
"1989"	1	49549	12.082175079249	1582375593209.97	27228.9962103888	309432747501.617	68.8687668217926	10303924628.9084	102.765833333333	0.148271476319961	0.0851137782097324	0.04102468329312	0.0356795217443295	0.0836100175417478	0.0343850188073116	0.193646892695451	-0.0217851521558421
"1990"	1	52497	11.9447098976109	1623837028984.48	27801.0480092585	320538319222.255	71.1965705290037	13183285334.811	106.343333333333	0.0577939461700883	-0.0114427385571312	0.0258646272327674	0.020791275526296	0.0352610554742832	0.0332418870177609	0.246424910095993	0.0342199163756716
